Timestamp                       (process)[PID]    
2022-11-11 00:07:14.360700+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.360701+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.360703+0800  localhost kernel[0]: (AppleACPIPlatform) XSDT 0x000000004F207000 0000DC (v01 ALASKA A M I    01072009 AMI  01000013)
2022-11-11 00:07:14.360704+0800  localhost kernel[0]: (AppleACPIPlatform) XSDT 0x000000004F207000 0000DC (v01 ALASKA A M I    01072009 AMI  01000013)
2022-11-11 00:07:14.360705+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.360705+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.360759+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.360759+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.360761+0800  localhost kernel[0]: (AppleACPIPlatform) FACP 0x000000004EDDA000 000114 (v06 ALASKA A M I    01072009 AMI  00010013)
2022-11-11 00:07:14.360762+0800  localhost kernel[0]: (AppleACPIPlatform) FACP 0x000000004EDDA000 000114 (v06 ALASKA A M I    01072009 AMI  00010013)
2022-11-11 00:07:14.360763+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.360763+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.370616+0800  localhost kernel[0]: PMRD: power event 7 args <private> 0x0
2022-11-11 00:07:14.370618+0800  localhost kernel[0]: PMRD: power event 7 args <private> 0x0
2022-11-11 00:07:14.370637+0800  localhost kernel[0]: PMRD: PowerChangeOverride (OFF_STATE->ON_STATE, f, 0x2) tag 0x20064
2022-11-11 00:07:14.370644+0800  localhost kernel[0]: PMRD: sysPowerDownHandler message kIOMessageSystemCapabilityChange
2022-11-11 00:07:14.370645+0800  localhost kernel[0]: PMRD: sysPowerDownHandler cap f -> f (flags 1)
2022-11-11 00:07:14.370672+0800  localhost kernel[0]: (AppleCredentialManager) AppleCredentialManager: powerStateDidChangeToGated: SYSTEM IS AWAKE.
2022-11-11 00:07:14.370714+0800  localhost kernel[0]: PMRD: sysPowerDownHandler message kIOMessageSystemCapabilityChange
2022-11-11 00:07:14.370715+0800  localhost kernel[0]: PMRD: sysPowerDownHandler cap f -> f (flags 2)
2022-11-11 00:07:14.370717+0800  localhost kernel[0]: PMRD: tellChangeUp OFF_STATE->ON_STATE
2022-11-11 00:07:14.370721+0800  localhost kernel[0]: PMRD: PowerChangeDone: OFF_STATE->ON_STATE
2022-11-11 00:07:14.370723+0800  localhost kernel[0]: PMRD: PowerChangeOverride (ON_STATE->ON_STATE, f, 0x2) tag 0x10001
2022-11-11 00:07:14.370725+0800  localhost kernel[0]: PMRD: PowerChangeDone: ON_STATE->ON_STATE
2022-11-11 00:07:14.370725+0800  localhost kernel[0]: PMRD: PowerChangeOverride (ON_STATE->ON_STATE, f, 0x302) tag 0x30064
2022-11-11 00:07:14.370727+0800  localhost kernel[0]: PMRD: PowerChangeDone: ON_STATE->ON_STATE
2022-11-11 00:07:14.370728+0800  localhost kernel[0]: PMRD: PowerChangeOverride (ON_STATE->ON_STATE, f, 0x302) tag 0x40064
2022-11-11 00:07:14.370730+0800  localhost kernel[0]: PMRD: PowerChangeDone: ON_STATE->ON_STATE
2022-11-11 00:07:14.370731+0800  localhost kernel[0]: PMRD: PowerChangeOverride (ON_STATE->ON_STATE, f, 0x2) tag 0x50064
2022-11-11 00:07:14.370732+0800  localhost kernel[0]: PMRD: PowerChangeDone: ON_STATE->ON_STATE
2022-11-11 00:07:14.378158+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.378159+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.378161+0800  localhost kernel[0]: (AppleACPIPlatform) DSDT 0x000000004EDA2000 037A24 (v02 ALASKA A M I    01072009 INTL 20160527)
2022-11-11 00:07:14.378161+0800  localhost kernel[0]: (AppleACPIPlatform) DSDT 0x000000004EDA2000 037A24 (v02 ALASKA A M I    01072009 INTL 20160527)
2022-11-11 00:07:14.378163+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.378163+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.378179+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.378179+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.378181+0800  localhost kernel[0]: (AppleACPIPlatform) FACS 0x000000004F2B9000 000040
2022-11-11 00:07:14.378181+0800  localhost kernel[0]: (AppleACPIPlatform) FACS 0x000000004F2B9000 000040
2022-11-11 00:07:14.378183+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.378183+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.378199+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.378199+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.378201+0800  localhost kernel[0]: (AppleACPIPlatform) MCFG 0x000000004EDDE000 00003C (v01 ALASKA A M I    01072009 MSFT 00000097)
2022-11-11 00:07:14.378201+0800  localhost kernel[0]: (AppleACPIPlatform) MCFG 0x000000004EDDE000 00003C (v01 ALASKA A M I    01072009 MSFT 00000097)
2022-11-11 00:07:14.378202+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.378203+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.378846+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.378847+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.378849+0800  localhost kernel[0]: (AppleACPIPlatform) SSDT 0x000000004EDDB000 0020AD (v02 CpuRef CpuSsdt  00003000 INTL 20160527)
2022-11-11 00:07:14.378849+0800  localhost kernel[0]: (AppleACPIPlatform) SSDT 0x000000004EDDB000 0020AD (v02 CpuRef CpuSsdt  00003000 INTL 20160527)
2022-11-11 00:07:14.378850+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.378851+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.378875+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.378875+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.378877+0800  localhost kernel[0]: (AppleACPIPlatform) FIDT 0x000000004EDA1000 00009C (v01 ALASKA A M I    01072009 AMI  00010013)
2022-11-11 00:07:14.378878+0800  localhost kernel[0]: (AppleACPIPlatform) FIDT 0x000000004EDA1000 00009C (v01 ALASKA A M I    01072009 AMI  00010013)
2022-11-11 00:07:14.378879+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.378879+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.378946+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.378947+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.378948+0800  localhost kernel[0]: (AppleACPIPlatform) AAFT 0x000000004EDE0000 000300 (v01 ALASKA OEMAAFT  01072009 MSFT 00000097)
2022-11-11 00:07:14.378949+0800  localhost kernel[0]: (AppleACPIPlatform) AAFT 0x000000004EDE0000 000300 (v01 ALASKA OEMAAFT  01072009 MSFT 00000097)
2022-11-11 00:07:14.378950+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.378950+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.379925+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.379926+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.379927+0800  localhost kernel[0]: (AppleACPIPlatform) SSDT 0x000000004ED9D000 0031DA (v02 SaSsdt SaSsdt   00003000 INTL 20160527)
2022-11-11 00:07:14.379928+0800  localhost kernel[0]: (AppleACPIPlatform) SSDT 0x000000004ED9D000 0031DA (v02 SaSsdt SaSsdt   00003000 INTL 20160527)
2022-11-11 00:07:14.379929+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.379929+0800  localhost kernel[0]: (AppleACPIPlatform) 
2022-11-11 00:07:14.380694+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
2022-11-11 00:07:14.380695+0800  localhost kernel[0]: (AppleACPIPlatform) ACPI:
